,name,replies,views,last_posted_at,len_name,weird_characters
61,META CITY @ PUCHONG SOUTH,218,"26,328",2020-07-17 20:17:00,25,False
62,LAKEFRONT CYBERJAYA | PR1MA LAKEFRONT CYBERJAYA,"1,878","270,395",2020-07-17 16:12:00,47,False
63,ARTE+ @ AMPANG ,"1,043","165,806",2020-07-17 14:14:00,15,False
64,GEN KL @ KUCHAI LAMA ,348,"67,794",2020-07-17 12:39:00,21,False
65,MAJU KUALA LUMPUR,"1,599","186,820",2020-07-17 10:52:00,17,False
66,SUNWAY AVILA @ WANGSA MAJU ,"1,276","185,792",2020-07-17 09:49:00,27,False
67,CHAMBERS RESIDENCE KUALA LUMPUR,322,"44,125",2020-07-17 09:00:00,31,False
68,RESIDENSI RIMBUNAN @ SRI PETALING  ,416,"50,440",2020-07-17 02:07:00,35,False
69,SOUTHVILLE CITY | CERRADO RESIDENTIAL SUITES ,737,"81,314",2020-07-17 01:52:00,45,False
70,CEYLONZ SUITES @ BUKIT CEYLON ,389,"51,332",2020-07-17 01:09:00,30,False
71,ARDENA MONT'KIARA,117,"18,148",2020-07-17 00:04:00,17,False
72,Rumahwip project with no refuse chamber,72,"2,654",2020-07-16 00:37:00,39,False
73,Zentro Residence 16 Sierra,59,"8,228",2020-07-15 23:41:00,26,False
74,THE COMO @ BUKIT JALIL,246,"40,213",2020-07-15 20:38:00,22,False
75,"TRION KUALA LUMPUR, JALAN SUNGAI BESI",720,"107,018",2020-07-15 16:35:00,37,False
76,"JALAN SEMERAH PADI, CHERAS by WEIDA",14,"1,486",2020-07-15 15:50:00,35,False
77,SFERA RESIDENCY @ PUCHONG SOUTH ,"1,254","161,580",2020-07-15 15:42:00,32,False
78,"The Mulia Residences, Cyberjaya",18,"2,654",2020-07-15 15:12:00,31,False
79,NEXUS RESIDENCES @ TAMAN PERTAMA CHERAS,516,"57,704",2020-07-15 14:53:00,39,False
80,THE VELODROME @ JALAN CHERAS,78,"5,304",2020-07-15 14:51:00,28,False
81,ONE COCHRANE RESIDENCES ,"1,333","232,337",2020-07-15 00:41:00,24,False
82,The Linq at Beauty World,1,192,2020-07-14 23:42:00,24,False
83,Penrose by CDL and Hong Leong,0,90,2020-07-14 22:38:00,29,False
84,KONDOMINIUM KIARA KASIH @ MONT KIARA ,"1,608","215,100",2020-07-14 20:29:00,37,False
85,MILLERZ SQUARE @ OLD KLANG ROAD,"1,211","225,389",2020-07-14 18:02:00,31,False
86,THE ARCUZ SUITES @ KELANA JAYA,337,"66,070",2020-07-14 18:01:00,30,False
87,KL ECO CITY | VOGUE SUITES ONE | VIIA RESIDENCES,"1,962","237,461",2020-07-14 17:08:00,48,False
88,AMAN 1 APARTMENTS | TROPICANA URBAN HOMES,350,"41,377",2020-07-14 16:47:00,41,False
89,TWY DUPLEX CONDOS @ MONT'KIARA,600,"105,198",2020-07-14 15:55:00,30,False
90,EMERALD 9 @ CHERAS | AUDREY BRUCE COCO DYLAN,822,"108,144",2020-07-14 15:54:00,44,False
91,THE HARMONY @ OLD KLANG ROAD | ASET KAYAMAS,42,"4,429",2020-07-14 15:51:00,43,False
92,ENESTA KEPONG | RESIDENSI ENESTA KEPONG,"2,191","219,670",2020-07-14 13:23:00,39,False
93,D'QUINCE RESIDENCES @ CENTRAL PARK DAMANSARA,561,"89,826",2020-07-14 09:49:00,44,False
94,SKYAWANI III RESIDENCE ,484,"51,395",2020-07-14 03:06:00,23,False
95,"RESIDENSI HARMONI 2, BUKIT PRIMA PELANGI ",257,"47,986",2020-07-14 02:29:00,41,False
96,Nexus@Kajang by MKH Berhad,141,"18,748",2020-07-13 13:37:00,26,False
97,Lombok Land for development,6,298,2020-07-13 13:04:00,27,False
98,SKYARENA @ SETAPAK | ASCENDA | BENNINGTON | CURVO,"1,063","185,768",2020-07-13 10:29:00,49,False
99,PAVILION CEYLON HILL KUALA LUMPUR,66,"16,399",2020-07-13 09:19:00,33,False
100,SKY SUITES @ KLCC,724,"111,330",2020-07-13 08:49:00,17,False
101,CITIZEN 2 @ OLD KLANG ROAD,"1,642","222,150",2020-07-13 02:48:00,26,False
102,Tropicana Heights Kajang V3A,"1,760","169,891",2020-07-13 01:22:00,28,False
103,THE HAVRE @ BUKIT JALIL | RESIDENSI JALILMAS ,"1,759","316,722",2020-07-13 00:33:00,45,False
104,CONCERTO KIARA @ MONT KIARA,"1,272","161,161",2020-07-13 00:20:00,27,False
105,BUKIT JALIL CITY | AURORA | REV.O | PARK SKY ,"1,074","159,958",2020-07-12 18:59:00,45,False
106,"RESIDENSI THE TREES @ BUKIT LANJAN DAMANSARA, KL",271,"25,548",2020-07-12 11:12:00,48,False
107,SUNWAY MONT RESIDENCES @ MONT KIARA ,583,"81,529",2020-07-12 08:20:00,36,False
