,address,name,lat,long,replies,views,recency,total_score,areas_within,points_within
13,"1, Jalan Dawai 16/2, Seksyen 16, 40200 Shah Alam, Selangor, Malaysia",Cheap Rooms for Rent Seksyen 16 Shah Alam,3.058014,101.5076761,2,242,2128.0,5,SHAH ALAM S 15 & S 16,"POLYGON ((101.534705 3.059294, 101.526608 3.0567, 101.522977 3.05575, 101.518193 3.054049, 101.52119 3.048113, 101.51753 3.047018, 101.51681 3.049727, 101.51315 3.048603, 101.513121 3.049554, 101.51266 3.052205, 101.509663 3.0516, 101.506782 3.051312, 101.505456 3.051341, 101.502113 3.051715, 101.502137 3.054345, 101.505883 3.054316, 101.505451 3.055959, 101.505365 3.05691, 101.5062 3.058956, 101.508678 3.057688, 101.510263 3.059734, 101.509341 3.062933, 101.521098 3.06616, 101.525853 3.066881, 101.527294 3.066592, 101.529455 3.066621, 101.532106 3.067457, 101.535593 3.068004, 101.537812 3.068408, 101.53908 3.06861, 101.545564 3.071405, 101.549022 3.072759, 101.550636 3.073566, 101.552019 3.074517, 101.554094 3.075324, 101.554526 3.076188, 101.554756 3.077716, 101.555056 3.077829, 101.555377 3.07382, 101.553724 3.07255, 101.551131 3.070331, 101.550237 3.068371, 101.549142 3.066469, 101.54822 3.065259, 101.545483 3.062954, 101.543725 3.061715, 101.540327 3.060893, 101.537529 3.060216, 101.534705 3.059294))"
14,"1, Jalan Desa Utama, Taman Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Condos in Taman DesaLooking for Condo at Taman Desa,3.0974671000000003,101.6791691,5,1199,2441.0,2,TAMAN DESA,"POLYGON ((101.688925 3.109546, 101.685335 3.102032, 101.685163 3.098783, 101.683675 3.09926, 101.682836 3.097441, 101.682881 3.096819, 101.680897 3.096486, 101.678642 3.096729, 101.681258 3.1028, 101.682827 3.104025, 101.683711 3.105547, 101.685173 3.109492, 101.688925 3.109546))"
15,"1, Jalan Ikhtisas, Seksyen 14, 40000 Shah Alam, Selangor, Malaysia","Vista Alam, SOHO/CONDO @ Section 14, Shah Alam, mi",3.0709058,101.5250134,18,2422,2544.0,160,"SHAH ALAM S 11, S12 & S 14","POLYGON ((101.521963 3.081145, 101.523289 3.079675, 101.524412 3.077629, 101.525133 3.07786, 101.525824 3.078407, 101.52813 3.079762, 101.530176 3.077139, 101.530983 3.075526, 101.531905 3.074661, 101.533518 3.073883, 101.534412 3.073537, 101.535564 3.073422, 101.536919 3.07273, 101.537582 3.072068, 101.537899 3.071434, 101.53908 3.06861, 101.537812 3.068408, 101.535593 3.068004, 101.532106 3.067457, 101.529455 3.066621, 101.527294 3.066592, 101.525853 3.066881, 101.521098 3.06616, 101.518908 3.068811, 101.518447 3.069359, 101.517093 3.069272, 101.514413 3.068552, 101.514298 3.069099, 101.511819 3.07201, 101.511503 3.073018, 101.511416 3.073595, 101.511647 3.074056, 101.51205 3.0742, 101.512915 3.074517, 101.513664 3.075036, 101.518563 3.07858, 101.519917 3.079156, 101.521963 3.081145))"
16,"1, Jalan Ipoh- KM20, Taman Rekreasi Templar, Templer Park, 48000 Rawang, Selangor, Malaysia",SETIA ECO TEMPLER | CARSON CREEK,3.3010428,101.6416892,968,110071,4.0,72,BATU 16 RAWANG,"POLYGON ((101.592995 3.30521, 101.592064 3.306806, 101.592064 3.309399, 101.591 3.310064, 101.587409 3.311128, 101.587542 3.311926, 101.588473 3.313921, 101.58947 3.31565, 101.586611 3.317711, 101.588074 3.321368, 101.590282 3.325835, 101.590992 3.327682, 101.591645 3.327586, 101.593701 3.327781, 101.596796 3.327696, 101.598751 3.327199, 101.599986 3.327131, 101.601576 3.32729, 101.602573 3.327032, 101.604265 3.326395, 101.605007 3.326036, 101.607367 3.325759, 101.608729 3.326268, 101.609293 3.326189, 101.609871 3.325784, 101.610568 3.325075, 101.61232 3.324754, 101.613811 3.323517, 101.616397 3.322645, 101.619213 3.322934, 101.623601 3.324069, 101.62515 3.323851, 101.626959 3.324014, 101.627814 3.322351, 101.628437 3.323122, 101.631435 3.324461, 101.632811 3.324461, 101.635883 3.32299, 101.637856 3.321581, 101.639476 3.321338, 101.640665 3.323496, 101.640693 3.32359, 101.641499 3.324518, 101.641825 3.325668, 101.642093 3.326221, 101.642629 3.327443, 101.643538 3.328752, 101.645037 3.329371, 101.645756 3.330602, 101.64713 3.332285, 101.649257 3.335065, 101.650407 3.335651, 101.652173 3.335082, 101.652957 3.334489, 101.654505 3.333817, 101.655324 3.333658, 101.65591 3.333249, 101.655982 3.332578, 101.65725 3.330938, 101.659341 3.330192, 101.661137 3.330017, 101.662049 3.329376, 101.662947 3.329391, 101.663754 3.330145, 101.664337 3.331093, 101.666205 3.330263, 101.66803 3.329302, 101.669101 3.3284, 101.669196 3.326363, 101.668248 3.325265, 101.668647 3.322921, 101.668049 3.320777, 101.667785 3.320458, 101.666702 3.318832, 101.667001 3.317136, 101.666553 3.316239, 101.666603 3.314543, 101.666412 3.313781, 101.665912 3.310703, 101.666261 3.307385, 101.666508 3.296665, 101.666553 3.294893, 101.668647 3.292799, 101.669695 3.291353, 101.670243 3.289557, 101.670692 3.288061, 101.670763 3.287636, 101.670842 3.287163, 101.669695 3.284769, 101.668946 3.284071, 101.669096 3.283373, 101.669495 3.282126, 101.669345 3.28078, 101.668597 3.279782, 101.6677 3.278087, 101.6674 3.277289, 101.669296 3.268212, 101.669844 3.266666, 101.670792 3.266217, 101.670542 3.26507, 101.670842 3.263723, 101.673314 3.260617, 101.673285 3.26005, 101.672986 3.257689, 101.672986 3.256623, 101.673043 3.255794, 101.673135 3.255108, 101.673258 3.254412, 101.672946 3.254005, 101.672122 3.254035, 101.671356 3.255419, 101.671739 3.25642, 101.671503 3.258569, 101.670208 3.259247, 101.671062 3.260513, 101.667205 3.261716, 101.661508 3.258685, 101.662408 3.276191, 101.660323 3.276935, 101.660026 3.276489, 101.65943 3.276414, 101.658983 3.273883, 101.658909 3.272989, 101.658537 3.272096, 101.657941 3.271575, 101.657196 3.27217, 101.656154 3.271798, 101.654591 3.271426, 101.65392 3.272021, 101.65392 3.272691, 101.653474 3.272989, 101.652356 3.272903, 101.652376 3.273824, 101.651644 3.274888, 101.650713 3.276683, 101.650514 3.278346, 101.648519 3.280274, 101.645526 3.282269, 101.644662 3.283532, 101.643731 3.284663, 101.642933 3.28586, 101.641138 3.286192, 101.638411 3.286192, 101.635951 3.287522, 101.63369 3.289849, 101.631828 3.291113, 101.628038 3.293374, 101.625511 3.294172, 101.621255 3.296632, 101.619527 3.297962, 101.617731 3.297993, 101.61623 3.297338, 101.61301 3.296033, 101.612212 3.297031, 101.611547 3.298893, 101.610616 3.299491, 101.609286 3.299491, 101.607823 3.300489, 101.604432 3.30142, 101.601972 3.301486, 101.598115 3.303548, 101.592995 3.30521))"
18,"1, Jalan Kerinchi, Kampung Kerinchi, Bangsar South, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",KL GATEWAY SUITES,3.1139735,101.6639504,37,5412,592.0,10,BANGSAR SOUTH,"POLYGON ((101.666426 3.10866, 101.663717 3.108598, 101.659059 3.109515, 101.659059 3.109516, 101.659059 3.109516, 101.658628 3.110089, 101.65844 3.11034, 101.65844 3.11034, 101.659335 3.112898, 101.658602 3.113115, 101.658563 3.113127, 101.664489 3.115205, 101.669809 3.115368, 101.669782 3.114406, 101.669121 3.113112, 101.668542 3.108708, 101.666426 3.10866))"
19,"1, Jalan Kota, Teluk Gadong, 41000 Klang, Selangor, Malaysia",Pusat Perniagaan Prima Klang,3.0329797999999997,101.4286342,0,219,1967.0,5,TAMAN GEMBIRA 1,"POLYGON ((101.427873 3.029134, 101.425014 3.034982, 101.432549 3.043022, 101.435455 3.042226, 101.433178 3.03534, 101.4333 3.034206, 101.433909 3.032763, 101.427873 3.029134))"
20,"1, Jalan Kuchai Maju 9, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",KUCHAI SENTRAL @ KUCHAI LAMA,3.0886896,101.6851257,130,20219,3.0,24,KUCHAI ENTREPRENEURS PARK,"POLYGON ((101.688835 3.075209, 101.684036 3.075033, 101.68409 3.078105, 101.684451 3.078231, 101.684433 3.079095, 101.686075 3.079275, 101.686129 3.081906, 101.685046 3.081978, 101.68492 3.083743, 101.686688 3.083851, 101.688889 3.083869, 101.688708 3.085797, 101.686652 3.085653, 101.686381 3.088661, 101.683386 3.088247, 101.683495 3.088949, 101.682881 3.088967, 101.682954 3.090516, 101.683224 3.090931, 101.682468 3.092007, 101.683441 3.09271, 101.687464 3.092187, 101.691018 3.092926, 101.693002 3.090404, 101.693399 3.088296, 101.694067 3.087504, 101.69684 3.084683, 101.69542 3.082829, 101.695492 3.081172, 101.696628 3.08119, 101.695961 3.079424, 101.690819 3.079694, 101.689845 3.078289, 101.688835 3.075209))"
21,"1, Jalan Lompat Tinggi 13/33, Seksyen 13, 40100 Shah Alam, Selangor, Malaysia",ELYSIUM @ SECTION 13 SHAH ALAM,3.08811,101.5480739,71,5383,1034.0,24,SHAH ALAM S 13,"POLYGON ((101.550607 3.092499, 101.55248 3.09247, 101.554603 3.092643, 101.554542 3.084872, 101.55497 3.07921, 101.555056 3.077829, 101.554756 3.077716, 101.554526 3.076188, 101.554094 3.075324, 101.552019 3.074517, 101.550636 3.073566, 101.549022 3.072759, 101.545564 3.071405, 101.53908 3.06861, 101.537899 3.071434, 101.537582 3.072068, 101.536919 3.07273, 101.535564 3.073422, 101.537322 3.074863, 101.539138 3.077773, 101.53908 3.078436, 101.537899 3.079185, 101.53372 3.081923, 101.53032 3.083998, 101.528562 3.084747, 101.531127 3.08809, 101.530003 3.093853, 101.533057 3.094228, 101.535709 3.094746, 101.537495 3.094746, 101.539829 3.094372, 101.547466 3.092124, 101.550607 3.092499))"
22,"1, Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",Neo Damansara Perdana,3.1639589,101.61270479999999,20,11124,3772.0,160,DAMANSARA PERDANA,"POLYGON ((101.598595 3.149868, 101.599699 3.156887, 101.599477 3.158846, 101.598553 3.166978, 101.60254 3.173357, 101.602017 3.177891, 101.599491 3.179999, 101.60104 3.181361, 101.603036 3.182239, 101.610398 3.183483, 101.611629 3.18349, 101.615876 3.182527, 101.619104 3.18242, 101.61916 3.182418, 101.619253 3.182415, 101.619142 3.180903, 101.61914 3.180881, 101.619137 3.180844, 101.619063 3.179837, 101.619063 3.179837, 101.619164 3.179672, 101.619643 3.178896, 101.619642 3.178893, 101.619141 3.176321, 101.619125 3.176239, 101.618864 3.17488, 101.619103 3.173772, 101.618706 3.173331, 101.618706 3.173331, 101.618584 3.172901, 101.618446 3.172416, 101.618033 3.171589, 101.617978 3.17148, 101.617772 3.171066, 101.617747 3.170917, 101.617549 3.169713, 101.617551 3.168077, 101.617551 3.167672, 101.617548 3.167642, 101.617499 3.167159, 101.617104 3.165652, 101.617324 3.163846, 101.616055 3.162068, 101.615413 3.159166, 101.615397 3.159092, 101.615389 3.158236, 101.615405 3.156847, 101.615405 3.156847, 101.615404 3.156822, 101.615361 3.156181, 101.615317 3.155531, 101.615317 3.155531, 101.607327 3.155487, 101.604892 3.155258, 101.601584 3.151674, 101.60016 3.150158, 101.598595 3.149868))"
24,"1, Jalan Puncak Menara Gading, UCSI Heights, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",UCSI RESIDENCE 2 ,3.079673,101.733255,98,12739,28.0,24,TAMAN CONNAUGHT,"POLYGON ((101.729532 3.084403, 101.742133 3.084624, 101.742642 3.082671, 101.745964 3.082683, 101.746213 3.082103, 101.747225 3.079553, 101.747415 3.078919, 101.745235 3.078967, 101.735092 3.078098, 101.729686 3.077552, 101.729503 3.081909, 101.729532 3.084403))"
