,areas_within,replies,views,total_score,address,polygon
75,DESA BAIDURI,363,29513,50.5,2,"POLYGON ((101.745406 3.054606, 101.7483 3.054791, 101.749504 3.054874, 101.749537 3.05487, 101.750056 3.054813, 101.751196 3.054928, 101.75313 3.055285, 101.753754 3.055315, 101.753568 3.052865, 101.753516 3.052192, 101.753078 3.031861, 101.753554 3.02734, 101.750669 3.026269, 101.750066 3.026196, 101.749583 3.026289, 101.748953 3.02641, 101.749284 3.029201, 101.748689 3.03271, 101.747262 3.035804, 101.747272 3.037948, 101.747119 3.038599, 101.746452 3.038552, 101.746548 3.040789, 101.746357 3.042549, 101.746119 3.043311, 101.745263 3.044453, 101.745168 3.045214, 101.744216 3.047594, 101.744549 3.052591, 101.743366 3.054517, 101.743391 3.054518, 101.74406 3.054558, 101.744297 3.054572, 101.745406 3.054606))"
76,DESA PANDAN,1766,154868,220.0,2,"POLYGON ((101.739953 3.145254, 101.739908 3.145268, 101.739567 3.145502, 101.739088 3.145078, 101.737795 3.143731, 101.735686 3.144598, 101.735466 3.144667, 101.733963 3.144611, 101.735163 3.145602, 101.735438 3.146208, 101.735576 3.146456, 101.735714 3.146951, 101.735714 3.14775, 101.735907 3.148878, 101.7361 3.149924, 101.736265 3.151603, 101.736899 3.154411, 101.738609 3.154219, 101.740897 3.153833, 101.743626 3.153943, 101.744178 3.153833, 101.745143 3.153696, 101.744701 3.151796, 101.745034 3.149812, 101.743326 3.150138, 101.742616 3.150273, 101.740871 3.150606, 101.742214 3.147907, 101.741621 3.147371, 101.741015 3.146822, 101.740105 3.145973, 101.739567 3.145502, 101.739953 3.145254))"
77,DESA PETALING,3507,594003,65.0,2,"POLYGON ((101.71615 3.082038, 101.715786 3.080703, 101.715442 3.079894, 101.714733 3.079268, 101.714065 3.079692, 101.713761 3.079996, 101.713437 3.080339, 101.713397 3.080784, 101.713275 3.082523, 101.706897 3.082786, 101.704063 3.079006, 101.703647 3.079216, 101.703058 3.079941, 101.702862 3.080817, 101.702009 3.081986, 101.700221 3.082746, 101.700486 3.083909, 101.699979 3.084324, 101.699483 3.084934, 101.701801 3.087471, 101.702724 3.087701, 101.703716 3.088899, 101.705273 3.087678, 101.707664 3.086881, 101.70817 3.086712, 101.710678 3.08536, 101.711039 3.086017, 101.712486 3.086425, 101.714794 3.085596, 101.715057 3.085414, 101.715239 3.085111, 101.71615 3.082038))"
78,DESA TUN RAZAK,431,52145,81.0,1,"POLYGON ((101.720969 3.07649, 101.714733 3.079268, 101.715442 3.079894, 101.715786 3.080703, 101.71615 3.082038, 101.71943 3.083521, 101.720807 3.082712, 101.722685 3.08201, 101.724447 3.081656, 101.726583 3.081434, 101.727646 3.081504, 101.723277 3.08017, 101.720969 3.07649))"
79,DUTAMAS,3793,484803,175.4,10,"POLYGON ((101.663338 3.187387, 101.667458 3.184154, 101.667526 3.1841, 101.668565 3.170618, 101.668628 3.169797, 101.66863 3.169771, 101.666444 3.164842, 101.666442 3.164838, 101.66366 3.164976, 101.659302 3.163589, 101.659386 3.171627, 101.653993 3.171686, 101.653993 3.171686, 101.653917 3.1731, 101.653877 3.173842, 101.653877 3.173842, 101.653618 3.174908, 101.653563 3.175133, 101.65453 3.175602, 101.65475 3.175678, 101.655732 3.176029, 101.656768 3.176615, 101.656477 3.177647, 101.655643 3.177406, 101.655518 3.178662, 101.657932 3.179722, 101.657642 3.185217, 101.663338 3.187387))"
80,ENGGANG SELATAN,3254,467612,144.8,5,"POLYGON ((101.751525 3.163124, 101.751731 3.162449, 101.751394 3.161904, 101.750514 3.160883, 101.750489 3.160854, 101.748996 3.161975, 101.748996 3.161975, 101.748242 3.161234, 101.742497 3.16258, 101.742497 3.16258, 101.741366 3.162391, 101.740734 3.162285, 101.740734 3.162285, 101.73791 3.164765, 101.73791 3.164765, 101.735521 3.164752, 101.73552 3.164758, 101.735245 3.168099, 101.735248 3.168099, 101.741402 3.167715, 101.74474 3.168977, 101.745142 3.169129, 101.745632 3.169278, 101.745007 3.168507, 101.744026 3.167299, 101.743217 3.166064, 101.748865 3.164537, 101.751525 3.163124))"
81,FLAT TAMAN MELATI,85,16432,262.0,2,"POLYGON ((101.723157 3.223969, 101.721818 3.225321, 101.721818 3.225321, 101.723644 3.22729, 101.723625 3.22772, 101.723775 3.229509, 101.723783 3.229606, 101.724895 3.228477, 101.730079 3.233712, 101.731845 3.231983, 101.738915 3.232262, 101.7384 3.233829, 101.7384 3.233829, 101.739948 3.233912, 101.739962 3.233895, 101.743392 3.229951, 101.743454 3.229733, 101.743817 3.228443, 101.74389 3.228021, 101.743906 3.228002, 101.74388 3.227889, 101.743791 3.227501, 101.743482 3.227193, 101.743454 3.227172, 101.742632 3.226578, 101.742631 3.226025, 101.74263 3.225576, 101.74166 3.224554, 101.741277 3.223752, 101.740691 3.223395, 101.73989 3.221734, 101.739758 3.220671, 101.73975 3.22061, 101.739709 3.219745, 101.73982 3.21875, 101.739903 3.217998, 101.739925 3.217806, 101.740056 3.216625, 101.740157 3.215719, 101.740222 3.215141, 101.740222 3.215141, 101.738183 3.215877, 101.737053 3.215852, 101.736229 3.217237, 101.735102 3.219228, 101.734734 3.220419, 101.73456 3.220744, 101.734018 3.221458, 101.732783 3.220635, 101.731937 3.221436, 101.730658 3.223081, 101.728555 3.224878, 101.726583 3.226111, 101.726149 3.224466, 101.725759 3.223579, 101.725195 3.223103, 101.724653 3.223882, 101.723873 3.223319, 101.723157 3.223969))"
82,GLENMARIE,1062,138468,73.66666666666667,3,"POLYGON ((101.557479 3.074939, 101.555377 3.07382, 101.555056 3.077829, 101.55497 3.07921, 101.554542 3.084872, 101.554603 3.092643, 101.555377 3.093634, 101.558363 3.093696, 101.559158 3.094093, 101.569319 3.099222, 101.569845 3.099445, 101.581641 3.100779, 101.583123 3.101668, 101.586023 3.103406, 101.587214 3.10412, 101.58752 3.104721, 101.5914 3.094419, 101.591685 3.092992, 101.590725 3.086994, 101.586935 3.085086, 101.586563 3.08524, 101.582817 3.082795, 101.574086 3.081216, 101.572689 3.080514, 101.56919 3.079079, 101.564139 3.077008, 101.560672 3.07642, 101.557479 3.074939))"
83,GOMBAK SELATAN,759,47992,120.0,1,"POLYGON ((101.735772 3.236915, 101.7384 3.233829, 101.7384 3.233829, 101.738915 3.232262, 101.731845 3.231983, 101.730079 3.233712, 101.724895 3.228477, 101.723783 3.229606, 101.72378 3.229609, 101.722058 3.229751, 101.72063 3.229394, 101.719274 3.228609, 101.717132 3.226325, 101.713769 3.222636, 101.709677 3.223826, 101.708487 3.22849, 101.7102 3.230774, 101.711866 3.232677, 101.714179 3.234119, 101.714417 3.236023, 101.735772 3.236915))"
84,GOMBAK UTARA,86,17084,504.0,1,"POLYGON ((101.701945 3.204061, 101.701555 3.203931, 101.700991 3.204278, 101.699641 3.205087, 101.699965 3.205451, 101.700504 3.206341, 101.700774 3.207338, 101.70153 3.208093, 101.701611 3.20847, 101.701017 3.208902, 101.701422 3.210303, 101.702232 3.210762, 101.702286 3.211247, 101.702907 3.211941, 101.702961 3.214178, 101.702043 3.215122, 101.702286 3.21585, 101.702934 3.216362, 101.702934 3.216362, 101.703144 3.216095, 101.703461 3.215692, 101.703461 3.215692, 101.703582 3.216157, 101.704447 3.215975, 101.70549 3.216353, 101.705776 3.215899, 101.706658 3.216002, 101.707913 3.215654, 101.708403 3.21476, 101.708403 3.21476, 101.708899 3.215249, 101.70982 3.216157, 101.70982 3.216157, 101.710977 3.215019, 101.710977 3.215019, 101.712757 3.214605, 101.712735 3.214223, 101.712329 3.213866, 101.711354 3.212611, 101.707473 3.21155, 101.705173 3.209421, 101.703311 3.207697, 101.70162 3.204884, 101.701945 3.204061))"
85,IMBI,24,2294,12.0,2,"POLYGON ((101.715901 3.139992, 101.714561 3.14018, 101.710835 3.140746, 101.709337 3.140827, 101.708851 3.141252, 101.70791 3.142606, 101.708821 3.143071, 101.712101 3.144001, 101.714834 3.146043, 101.715259 3.145517, 101.71532 3.142889, 101.715806 3.142808, 101.715583 3.142323, 101.716758 3.142323, 101.717546 3.141333, 101.715901 3.139992))"
86,IMPIAN EHSAN,101,6922,113.0,4,"POLYGON ((101.744533 2.993512, 101.74466 3.016034, 101.74646 3.017743, 101.747113 3.018758, 101.747083 3.026769, 101.748387 3.026518, 101.748953 3.02641, 101.749583 3.026289, 101.750162 3.025819, 101.751173 3.025343, 101.753374 3.023529, 101.754237 3.023202, 101.75504 3.022845, 101.755813 3.021774, 101.756765 3.020763, 101.757092 3.019097, 101.75971 3.015915, 101.761316 3.016272, 101.763309 3.016182, 101.76426 3.015588, 101.76777 3.014249, 101.769537 3.012648, 101.769537 3.011755, 101.769805 3.010566, 101.770727 3.011399, 101.771143 3.011399, 101.771202 3.010655, 101.770697 3.009465, 101.770727 3.008454, 101.770875 3.007889, 101.771649 3.008008, 101.771946 3.006729, 101.772809 3.006907, 101.772273 3.005271, 101.771232 3.005539, 101.771143 3.004052, 101.772035 3.004141, 101.772362 3.003992, 101.772303 3.003606, 101.771559 3.003338, 101.771321 3.002981, 101.771619 3.002416, 101.772838 3.002029, 101.773284 3.001673, 101.773641 3.002089, 101.774207 3.002297, 101.774593 3.001791, 101.774861 3.001078, 101.774653 3.000602, 101.773879 3.000334, 101.774593 2.999888, 101.775307 2.999353, 101.775218 2.998877, 101.774801 2.99849, 101.775069 2.997836, 101.776051 2.997598, 101.776764 2.997568, 101.777333 2.996526, 101.774501 2.997133, 101.773129 2.997427, 101.771705 2.996787, 101.772639 2.993962, 101.772747 2.993582, 101.775372 2.992185, 101.77581 2.992128, 101.776153 2.992204, 101.776799 2.992555, 101.776153 2.991519, 101.776286 2.991271, 101.776724 2.990967, 101.776895 2.9903, 101.776943 2.990046, 101.775555 2.990129, 101.775106 2.990586, 101.774782 2.990833, 101.771489 2.991918, 101.771169 2.992301, 101.770566 2.99396, 101.770303 2.995189, 101.770114 2.99607, 101.769572 2.995369, 101.764221 2.99127, 101.762859 2.990816, 101.760784 2.990765, 101.747486 2.992547, 101.746502 2.992679, 101.744533 2.993512))"
87,JALAN BUKIT,701,126336,156.16666666666666,6,"POLYGON ((101.643887 3.118594, 101.64382 3.118594, 101.643814 3.118594, 101.643887 3.118594))"
88,JALAN CHAN SOW LIN,221,34823,324.0,2,"POLYGON ((101.716467 3.117502, 101.716141 3.11761, 101.714816 3.11713, 101.714189 3.116435, 101.712053 3.117811, 101.71099 3.118608, 101.708407 3.120329, 101.708142 3.120529, 101.708581 3.12325, 101.709274 3.124288, 101.710868 3.126682, 101.714129 3.124368, 101.714325 3.124195, 101.715237 3.123919, 101.715965 3.122927, 101.7162 3.122146, 101.7166 3.120819, 101.716733 3.118961, 101.716467 3.117502))"
89,JALAN CHERAS,227,25981,144.0,1,"POLYGON ((101.715307 3.125637, 101.71849 3.129949, 101.724924 3.126178, 101.725047 3.126123, 101.725051 3.126006, 101.724867 3.125475, 101.724636 3.125152, 101.724243 3.12476, 101.723562 3.124265, 101.719533 3.121798, 101.715307 3.125637))"
90,JALAN COCHRANE,483,46798,58.5,2,"POLYGON ((101.719789 3.138831, 101.725706 3.137289, 101.729097 3.134839, 101.731137 3.133793, 101.732819 3.133821, 101.734832 3.133903, 101.736555 3.133563, 101.736568 3.133549, 101.737786 3.132275, 101.738043 3.132008, 101.738587 3.130009, 101.732957 3.127184, 101.73111 3.1306, 101.730338 3.131095, 101.718342 3.13443, 101.719789 3.138831))"
91,JALAN GOMBAK,583,80606,66.25,4,"POLYGON ((101.703781 3.198352, 101.701945 3.204061, 101.70162 3.204884, 101.703311 3.207697, 101.705173 3.209421, 101.706471 3.208374, 101.707229 3.208244, 101.707793 3.208396, 101.707164 3.206318, 101.709397 3.206318, 101.712345 3.203028, 101.711023 3.201837, 101.709982 3.201967, 101.707945 3.200409, 101.707836 3.197351, 101.70672 3.197157, 101.706037 3.198196, 101.705202 3.198087, 101.703781 3.198352))"
92,JALAN HAJI SALLEH,91,7840,504.0,1,"POLYGON ((101.423625 3.136814, 101.43329 3.136588, 101.434524 3.125814, 101.439918 3.12652, 101.438586 3.137127, 101.441295 3.137035, 101.451274 3.137035, 101.452546 3.137035, 101.453433 3.136061, 101.452635 3.134566, 101.45282 3.133936, 101.453136 3.132863, 101.454737 3.132793, 101.45544 3.132763, 101.455641 3.119488, 101.45482 3.119527, 101.45384 3.119573, 101.453856 3.119461, 101.454386 3.115825, 101.453998 3.114759, 101.452211 3.10992, 101.444619 3.109917, 101.442822 3.110021, 101.442065 3.110065, 101.441464 3.116482, 101.423932 3.116533, 101.423625 3.136814))"
93,JALAN KASIPILLAY,136,15359,504.0,2,"POLYGON ((101.677798 3.178865, 101.678157 3.180777, 101.678851 3.181423, 101.680873 3.181863, 101.680877 3.181703, 101.68173 3.180974, 101.686654 3.177404, 101.685143 3.17425, 101.684927 3.170792, 101.682993 3.174269, 101.679977 3.177209, 101.677798 3.178865))"
94,JALAN MENGKUDU,186,24824,74.0,2,"POLYGON ((101.734198 3.154797, 101.734487 3.160467, 101.737382 3.161018, 101.739532 3.160688, 101.748325 3.158304, 101.748697 3.158093, 101.749096 3.157866, 101.749489 3.157626, 101.750349 3.157118, 101.747308 3.152554, 101.747165 3.149478, 101.747163 3.149449, 101.746948 3.149484, 101.746359 3.149582, 101.745389 3.149744, 101.745389 3.149742, 101.745045 3.1498, 101.745043 3.14981, 101.745034 3.149812, 101.744701 3.151796, 101.745143 3.153696, 101.744178 3.153833, 101.743626 3.153943, 101.740897 3.153833, 101.738609 3.154219, 101.736899 3.154411, 101.736569 3.155155, 101.734749 3.154466, 101.734198 3.154797))"
95,JALAN PASAR,36,10424,36.0,1,"POLYGON ((101.711211 3.13675, 101.712791 3.137458, 101.715901 3.139992, 101.717546 3.141333, 101.718549 3.142149, 101.719626 3.142193, 101.720659 3.141641, 101.720409 3.141101, 101.719789 3.138831, 101.718342 3.13443, 101.71784 3.132514, 101.717545 3.130716, 101.713101 3.134377, 101.711743 3.136382, 101.711211 3.13675))"
96,JALAN RAJA LAUT,330,45252,50.333333333333336,3,"POLYGON ((101.694511 3.169943, 101.694586 3.170289, 101.698544 3.167001, 101.698147 3.163991, 101.698124 3.163821, 101.698124 3.163821, 101.69786 3.162193, 101.695802 3.157549, 101.695852 3.156958, 101.696328 3.154458, 101.69645 3.153488, 101.696419 3.153336, 101.696409 3.153225, 101.696014 3.152464, 101.694992 3.150999, 101.694958 3.15092, 101.694344 3.1495, 101.694212 3.148909, 101.693868 3.147534, 101.693114 3.145366, 101.693095 3.145517, 101.693083 3.145618, 101.69267 3.145972, 101.69267 3.145972, 101.692553 3.146961, 101.692557 3.147032, 101.69259 3.147575, 101.69251 3.148011, 101.692247 3.148846, 101.692247 3.148846, 101.692247 3.148846, 101.693657 3.154143, 101.694183 3.156577, 101.694162 3.156948, 101.694117 3.157371, 101.693644 3.158476, 101.69298 3.159537, 101.692144 3.160119, 101.691655 3.160459, 101.692421 3.161242, 101.692419 3.161251, 101.692155 3.162609, 101.692183 3.162642, 101.692162 3.162726, 101.692517 3.16303, 101.693269 3.163905, 101.693539 3.164606, 101.693809 3.165738, 101.69254 3.168299, 101.693168 3.168784, 101.693971 3.169108, 101.694511 3.169943))"
97,JALAN RAJA MUDA,50,12422,36.0,1,"POLYGON ((101.703099 3.163848, 101.70066 3.163629, 101.70066 3.163629, 101.699518 3.163715, 101.698124 3.163821, 101.698124 3.163821, 101.698147 3.163991, 101.698544 3.167001, 101.698516 3.170291, 101.699178 3.172892, 101.699591 3.173649, 101.699649 3.174148, 101.700295 3.173871, 101.700779 3.17394, 101.701817 3.173342, 101.703524 3.173203, 101.706684 3.172374, 101.708484 3.17166, 101.711134 3.169425, 101.711713 3.168937, 101.712544 3.167992, 101.702941 3.167869, 101.703099 3.163859, 101.703099 3.163848, 101.703099 3.163848))"
98,JALAN SEMANGAT,19,2410,190.0,2,"POLYGON ((101.639357 3.104454, 101.63903 3.104623, 101.633354 3.103977, 101.634777 3.105828, 101.633427 3.111593, 101.632497 3.112725, 101.628357 3.115967, 101.629035 3.116576, 101.629825 3.117269, 101.637251 3.109677, 101.640057 3.108254, 101.63966 3.107615, 101.639191 3.106111, 101.639094 3.105343, 101.639357 3.104454))"
99,JALAN SULTAN,3416,324233,164.66666666666666,6,"POLYGON ((101.694941 3.142957, 101.69813 3.142687, 101.698485 3.14295, 101.69891 3.14292, 101.698869 3.144122, 101.698383 3.144193, 101.69836 3.14552, 101.698879 3.145596, 101.699684 3.145727, 101.70182 3.145889, 101.704422 3.145414, 101.70668 3.14413, 101.707216 3.143958, 101.70791 3.142606, 101.705166 3.140746, 101.709144 3.137576, 101.707416 3.137008, 101.706708 3.136776, 101.70473 3.138648, 101.703889 3.137292, 101.70367 3.136676, 101.702271 3.137168, 101.700185 3.138138, 101.699639 3.138543, 101.697756 3.139816, 101.697391 3.139857, 101.696824 3.139958, 101.695407 3.138401, 101.694607 3.138462, 101.694881 3.142525, 101.694941 3.142957))"
100,JALAN SUNGAI BESI,737,69566,120.0,1,"POLYGON ((101.698404 3.126332, 101.700995 3.128282, 101.701349 3.128753, 101.701955 3.130762, 101.707496 3.13019, 101.707681 3.128553, 101.708466 3.129118, 101.708858 3.129049, 101.708316 3.128461, 101.711029 3.127862, 101.710486 3.126951, 101.710868 3.126682, 101.709274 3.124288, 101.708581 3.12325, 101.708142 3.120529, 101.708407 3.120329, 101.707816 3.119625, 101.706354 3.119625, 101.703933 3.121327, 101.703495 3.122202, 101.70321 3.122772, 101.701556 3.124497, 101.699113 3.12586, 101.698537 3.126067, 101.698375 3.12614, 101.698345 3.126214, 101.698404 3.126332))"
101,JALAN SUNGAI JERNIH,25,8127,20.0,1,"POLYGON ((101.635118 3.096234, 101.635808 3.099466, 101.637094 3.101272, 101.639722 3.102648, 101.640022 3.102128, 101.641736 3.100794, 101.642067 3.100325, 101.642075 3.100058, 101.641526 3.099217, 101.640721 3.09542, 101.640294 3.095415, 101.635118 3.096234))"
102,JALAN TENGKU KELANA,106,7281,77.0,2,"POLYGON ((101.447779 3.045632, 101.448581 3.045397, 101.447751 3.04199, 101.448245 3.04063, 101.447555 3.039369, 101.447412 3.038394, 101.44715 3.037585, 101.445627 3.037252, 101.445128 3.03699, 101.444438 3.037204, 101.442902 3.038716, 101.443272 3.039084, 101.443652 3.040012, 101.444628 3.041344, 101.444771 3.042106, 101.444461 3.042605, 101.444057 3.042701, 101.443438 3.043129, 101.443557 3.044699, 101.444818 3.046436, 101.445294 3.046341, 101.445818 3.045532, 101.446824 3.044934, 101.447529 3.044515, 101.447779 3.045632))"
103,JALAN TUN SAMBANTHAN,957,118832,60.333333333333336,6,"POLYGON ((101.678281 3.125461, 101.678294 3.125617, 101.678267 3.125782, 101.678846 3.126966, 101.679673 3.128342, 101.684552 3.134564, 101.684966 3.134949, 101.685324 3.13572, 101.685793 3.136821, 101.689735 3.137702, 101.692135 3.137885, 101.691426 3.136764, 101.690186 3.136234, 101.68834 3.133514, 101.686485 3.131906, 101.684089 3.129829, 101.683823 3.128885, 101.682181 3.125502, 101.682181 3.125502, 101.682173 3.125492, 101.68101 3.123901, 101.679942 3.122493, 101.679544 3.122317, 101.678223 3.121794, 101.678101 3.123332, 101.678281 3.125461))"
104,JALAN TUNKU ABDUL RAHMAN,9,877,60.0,1,"POLYGON ((101.694958 3.15092, 101.694992 3.150999, 101.696014 3.152464, 101.696409 3.153225, 101.696419 3.153336, 101.69645 3.153488, 101.696328 3.154458, 101.695852 3.156958, 101.698596 3.156434, 101.699922 3.156182, 101.701261 3.155576, 101.701261 3.155576, 101.701365 3.155507, 101.701758 3.155246, 101.701792 3.155223, 101.701455 3.154707, 101.701328 3.15448, 101.70123 3.154292, 101.70116 3.154158, 101.700856 3.153774, 101.700317 3.153139, 101.699398 3.152678, 101.697918 3.151936, 101.697614 3.151259, 101.697513 3.150632, 101.696316 3.149527, 101.696298 3.14951, 101.694958 3.15092))"
105,JALAN USAHAWAN,331,53543,81.0,1,"POLYGON ((101.71932 3.195482, 101.719306 3.196155, 101.720381 3.196549, 101.717242 3.199609, 101.718044 3.200226, 101.722087 3.203357, 101.726431 3.198309, 101.727257 3.199247, 101.727424 3.197688, 101.727161 3.196878, 101.72387 3.194753, 101.723694 3.194621, 101.723607 3.194468, 101.722795 3.193241, 101.721939 3.193241, 101.720732 3.192869, 101.720491 3.195432, 101.719328 3.195103, 101.71932 3.195482))"
106,JALAN YAP KWAN SENG,1963,278034,93.4,10,"POLYGON ((101.715237 3.165143, 101.71585 3.163881, 101.71665 3.163358, 101.718359 3.16278, 101.719131 3.162257, 101.719981 3.160176, 101.718681 3.160117, 101.716467 3.160294, 101.714459 3.159321, 101.714075 3.158878, 101.712806 3.15879, 101.711034 3.15938, 101.710355 3.159409, 101.70847 3.160686, 101.709326 3.161185, 101.710331 3.161771, 101.710331 3.161771, 101.710379 3.164004, 101.711273 3.164037, 101.713631 3.164239, 101.715237 3.165143))"
107,JENDERAM HULU,24,1532,20.0,1,"POLYGON ((101.755652 2.806461, 101.746575 2.805984, 101.746797 2.812247, 101.745464 2.816977, 101.74513 2.819171, 101.744272 2.821364, 101.741445 2.824989, 101.739943 2.828293, 101.739943 2.833416, 101.739642 2.841402, 101.738135 2.848333, 101.737683 2.853155, 101.735272 2.857826, 101.734093 2.861757, 101.733012 2.86536, 101.730401 2.868194, 101.731179 2.869777, 101.732021 2.870753, 101.751203 2.870574, 101.752351 2.860048, 101.753447 2.840145, 101.755131 2.816346, 101.755652 2.806461))"
108,JINJANG UTARA,182,27210,82.0,2,"POLYGON ((101.655651 3.208983, 101.65476 3.208666, 101.653221 3.208693, 101.647929 3.211894, 101.645715 3.213269, 101.644568 3.213659, 101.645324 3.216112, 101.645422 3.218751, 101.647663 3.218589, 101.647609 3.219209, 101.656059 3.218966, 101.655995 3.21802, 101.655846 3.217197, 101.655637 3.214899, 101.655556 3.212433, 101.655651 3.208983))"
109,JOHAN SETIA,8,2567,60.0,1,"POLYGON ((101.521488 2.953902, 101.52388 2.949981, 101.52396 2.94985, 101.520078 2.950002, 101.516607 2.950138, 101.470642 2.951588, 101.462093 2.968298, 101.454433 2.978915, 101.482389 2.979616, 101.498886 2.98013, 101.509955 2.960737, 101.521488 2.953902))"
110,KAJANG,336,29314,81.0,1,"POLYGON ((101.788054 2.989437, 101.784888 2.989588, 101.782928 2.990492, 101.782325 2.992301, 101.784395 2.993099, 101.783424 2.994926, 101.782024 2.995618, 101.783682 2.996673, 101.787458 2.996044, 101.79156 2.994453, 101.792125 2.993658, 101.790165 2.991095, 101.788611 2.989874, 101.788054 2.989437))"
111,KAMPUNG AMPANG INDAH,5,709,60.0,1,"POLYGON ((101.797203 3.134303, 101.796393 3.133406, 101.796183 3.133597, 101.793508 3.13558, 101.791701 3.134929, 101.791821 3.133941, 101.791146 3.13411, 101.790086 3.135098, 101.78717 3.133893, 101.78811 3.132206, 101.788857 3.130302, 101.787628 3.130543, 101.787797 3.131049, 101.781073 3.130688, 101.779115 3.131844, 101.779266 3.133917, 101.780158 3.138327, 101.780615 3.140423, 101.781194 3.143628, 101.782547 3.143787, 101.784358 3.143789, 101.785387 3.144083, 101.785702 3.144174, 101.785845 3.143508, 101.78717 3.142809, 101.788623 3.142547, 101.789618 3.142477, 101.793604 3.142231, 101.793604 3.142231, 101.793966 3.138664, 101.797076 3.134615, 101.797203 3.134303))"
112,KAMPUNG BAHAGIA,3678,466595,82.75,4,"POLYGON ((101.664627 3.08248, 101.666832 3.081943, 101.667191 3.081805, 101.667618 3.081819, 101.668211 3.08186, 101.668611 3.08197, 101.66893 3.082374, 101.669669 3.081165, 101.669108 3.081106, 101.669639 3.080074, 101.666421 3.077096, 101.667587 3.076256, 101.662154 3.06814, 101.662065 3.066843, 101.661829 3.066519, 101.66152 3.06605, 101.661298 3.066203, 101.658403 3.065349, 101.656253 3.065019, 101.656253 3.065019, 101.654091 3.065152, 101.65402 3.065157, 101.651122 3.066734, 101.65144 3.067686, 101.651161 3.068194, 101.65095 3.068579, 101.651239 3.069529, 101.65124 3.069535, 101.65322 3.070807, 101.654399 3.071564, 101.654978 3.07301, 101.655446 3.073698, 101.65597 3.074166, 101.656549 3.074551, 101.657597 3.075405, 101.658506 3.07612, 101.658948 3.07623, 101.659747 3.076533, 101.66085 3.076864, 101.661842 3.077249, 101.663441 3.078681, 101.663662 3.079204, 101.66402 3.079754, 101.664324 3.08003, 101.664627 3.08248))"
113,KAMPUNG BARU,36,3260,48.0,2,"POLYGON ((100.966061 3.772925, 100.964874 3.766421, 100.95556 3.771985, 100.950797 3.77698, 100.946908 3.793668, 100.953995 3.795837, 100.950239 3.811483, 100.954458 3.812528, 100.960385 3.809779, 100.967235 3.800665, 100.96351 3.798527, 100.959723 3.79481, 100.95908 3.791985, 100.958996 3.791287, 100.958358 3.7882, 100.957948 3.784894, 100.958878 3.781859, 100.961456 3.777637, 100.966061 3.772925))"
114,KAMPUNG BARU AMPANG PERTAMA,19,4835,20.0,1,"POLYGON ((101.766843 3.136038, 101.766752 3.135425, 101.763739 3.136118, 101.763731 3.138318, 101.763931 3.139782, 101.764996 3.140719, 101.764996 3.141912, 101.765266 3.143053, 101.765337 3.143361, 101.76556 3.143231, 101.766934 3.143737, 101.768597 3.140827, 101.766843 3.136038))"
115,KAMPUNG BARU SELATAN,638,71179,44.0,4,"POLYGON ((101.699518 3.163715, 101.70066 3.163629, 101.70066 3.163629, 101.703099 3.163848, 101.707345 3.16392, 101.707991 3.163931, 101.708709 3.163943, 101.710379 3.164004, 101.710331 3.161771, 101.710331 3.161771, 101.709326 3.161185, 101.70847 3.160686, 101.70847 3.160686, 101.705821 3.160359, 101.705415 3.160309, 101.705415 3.160309, 101.705349 3.160295, 101.704222 3.160058, 101.704222 3.160058, 101.704222 3.160058, 101.702176 3.160154, 101.700168 3.160802, 101.700257 3.161274, 101.699666 3.161598, 101.699342 3.161333, 101.699518 3.163715))"
116,KAMPUNG BARU UTARA,12,1203,320.0,1,"POLYGON ((101.712544 3.167992, 101.714107 3.167098, 101.715237 3.165143, 101.713631 3.164239, 101.711273 3.164037, 101.710379 3.164004, 101.708709 3.163943, 101.707991 3.163931, 101.707345 3.16392, 101.703099 3.163848, 101.703099 3.163848, 101.703099 3.163859, 101.702941 3.167869, 101.712544 3.167992))"
117,KAMPUNG BATU 13,66,23471,504.0,1,"POLYGON ((101.594212 3.04317, 101.605316 3.043442, 101.604091 3.042705, 101.599977 3.038474, 101.598595 3.030223, 101.59838 3.026591, 101.597389 3.020444, 101.595682 3.014846, 101.594634 3.013764, 101.591527 3.009989, 101.591082 3.009507, 101.590343 3.008621, 101.589436 3.008085, 101.588277 3.0074, 101.587903 3.006761, 101.586738 3.004774, 101.58657 3.004488, 101.583504 3.006277, 101.583488 3.007399, 101.584432 3.007889, 101.586094 3.008097, 101.586378 3.009229, 101.586734 3.010769, 101.585471 3.011842, 101.584876 3.012346, 101.584507 3.013293, 101.584638 3.014242, 101.584927 3.016343, 101.586243 3.019673, 101.586279 3.021496, 101.585927 3.022265, 101.587682 3.023266, 101.587697 3.024787, 101.589231 3.026087, 101.589275 3.030043, 101.589802 3.033583, 101.590846 3.033451, 101.593116 3.033822, 101.594185 3.034806, 101.594212 3.04317))"
