,areas_within,replies,views,total_score,address,polygon
10,BANDAR COUNTRY HOME 2,267,43963,81.0,1,"POLYGON ((101.524892 3.320977, 101.521405 3.321352, 101.515879 3.318553, 101.514176 3.31917, 101.512906 3.319883, 101.510966 3.322551, 101.508443 3.321158, 101.503765 3.319018, 101.50284 3.319581, 101.494626 3.324224, 101.494443 3.302625, 101.47335 3.312158, 101.473183 3.316135, 101.474492 3.319228, 101.475682 3.320537, 101.476396 3.322322, 101.478299 3.324701, 101.478299 3.326724, 101.477823 3.328984, 101.47818 3.330888, 101.48032 3.333323, 101.479 3.334198, 101.476539 3.334531, 101.47235 3.336925, 101.470954 3.337922, 101.469557 3.339584, 101.467695 3.340715, 101.465757 3.340705, 101.464903 3.33985, 101.459982 3.335994, 101.4565 3.332394, 101.448041 3.332916, 101.446269 3.333441, 101.445903 3.339938, 101.44586 3.340826, 101.445856 3.340905, 101.446461 3.352264, 101.446496 3.35557, 101.443785 3.355627, 101.443794 3.356852, 101.443762 3.36042, 101.443943 3.395736, 101.443943 3.395738, 101.444061 3.397032, 101.445528 3.397101, 101.446653 3.397576, 101.44652 3.398056, 101.447854 3.399014, 101.448807 3.399638, 101.449908 3.399826, 101.451191 3.399171, 101.452331 3.399576, 101.452837 3.399708, 101.453512 3.399709, 101.454349 3.399944, 101.454685 3.400114, 101.455552 3.400375, 101.456729 3.399159, 101.459582 3.398775, 101.459912 3.397123, 101.460573 3.396264, 101.46229 3.395604, 101.464579 3.395905, 101.465897 3.39568, 101.466505 3.395122, 101.468001 3.395405, 101.468531 3.395362, 101.46884 3.394852, 101.468965 3.394677, 101.469079 3.394516, 101.469189 3.394259, 101.469417 3.393723, 101.469696 3.393065, 101.46984 3.39271, 101.469858 3.392665, 101.469897 3.391065, 101.472563 3.387614, 101.475155 3.387559, 101.476805 3.387495, 101.4769 3.386272, 101.477043 3.386148, 101.477919 3.384273, 101.478539 3.382274, 101.478794 3.380951, 101.479525 3.379395, 101.480183 3.376122, 101.479786 3.374622, 101.478724 3.372978, 101.479554 3.372482, 101.480026 3.371416, 101.481017 3.370721, 101.481186 3.369536, 101.481886 3.369804, 101.482364 3.369339, 101.483587 3.36927, 101.485463 3.368087, 101.486817 3.368385, 101.487189 3.369187, 101.487784 3.368771, 101.488578 3.369053, 101.492125 3.368408, 101.49337 3.367622, 101.493835 3.367004, 101.494491 3.366792, 101.494063 3.364451, 101.495919 3.362295, 101.496722 3.361567, 101.498759 3.359002, 101.497411 3.359246, 101.498474 3.3582, 101.498583 3.355906, 101.502136 3.351791, 101.502727 3.351501, 101.503448 3.350933, 101.505278 3.350552, 101.506819 3.351057, 101.50773 3.35193, 101.50817 3.352587, 101.509064 3.352837, 101.510458 3.352481, 101.510922 3.352136, 101.511743 3.35063, 101.512414 3.349283, 101.51284 3.34894, 101.513837 3.348563, 101.514658 3.348907, 101.516312 3.349526, 101.517735 3.349854, 101.518689 3.349231, 101.520597 3.349003, 101.52143 3.348373, 101.521877 3.347716, 101.521928 3.346911, 101.522303 3.346446, 101.523143 3.346232, 101.524467 3.346154, 101.525104 3.345908, 101.525926 3.345599, 101.527619 3.345555, 101.528866 3.345578, 101.527883 3.345077, 101.524654 3.343369, 101.523561 3.341874, 101.522301 3.340454, 101.521375 3.340171, 101.520286 3.339029, 101.518776 3.337807, 101.519942 3.336438, 101.520044 3.329187, 101.522782 3.326652, 101.524892 3.320977))"
11,BANDAR DAMAI PERDANA,61,11495,257.0,2,"POLYGON ((101.740028 3.038466, 101.730599 3.038147, 101.730599 3.038147, 101.730538 3.040775, 101.730286 3.054403, 101.73913 3.054498, 101.739128 3.054556, 101.739695 3.054559, 101.743116 3.054521, 101.743365 3.054518, 101.743366 3.054517, 101.744549 3.052591, 101.744216 3.047594, 101.745168 3.045214, 101.745263 3.044453, 101.746119 3.043311, 101.746357 3.042549, 101.746548 3.040789, 101.746452 3.038552, 101.740028 3.038466))"
12,BANDAR KINRARA SEKSYEN 4,12,2590,320.0,1,"POLYGON ((101.630387 3.032416, 101.630271 3.034786, 101.630771 3.036357, 101.629129 3.037071, 101.629176 3.038433, 101.63116 3.039903, 101.63115 3.041665, 101.63059 3.043428, 101.630569 3.045263, 101.632487 3.046321, 101.632767 3.04713, 101.632674 3.049805, 101.633892 3.04986, 101.637395 3.049528, 101.639699 3.04938, 101.641507 3.049538, 101.642425 3.04997, 101.642616 3.049279, 101.642616 3.040189, 101.644519 3.037524, 101.645233 3.037143, 101.651895 3.037143, 101.652847 3.037762, 101.653656 3.038381, 101.654132 3.038048, 101.656083 3.036953, 101.658415 3.036049, 101.661556 3.035811, 101.664459 3.035621, 101.665696 3.035573, 101.665934 3.035097, 101.666029 3.031576, 101.667552 3.028482, 101.667552 3.027245, 101.668552 3.022914, 101.669503 3.02044, 101.669646 3.019393, 101.669218 3.018155, 101.667805 3.018508, 101.630387 3.032416))"
13,BANDAR KINRARA SEKSYEN 5,4332,629418,171.375,8,"POLYGON ((101.648869 3.051652, 101.650047 3.05181, 101.651102 3.051592, 101.652006 3.051925, 101.655076 3.053472, 101.659026 3.055471, 101.659402 3.055534, 101.659252 3.051041, 101.662937 3.04625, 101.668702 3.045402, 101.668669 3.04379, 101.668516 3.040704, 101.670276 3.041276, 101.672621 3.041962, 101.673057 3.042089, 101.674957 3.042015, 101.678783 3.041867, 101.680157 3.041846, 101.680175 3.041813, 101.680235 3.041844, 101.687237 3.045498, 101.690114 3.033897, 101.690343 3.032974, 101.688218 3.031148, 101.68395 3.027482, 101.683825 3.012984, 101.683816 3.011883, 101.67707 3.0116, 101.67293 3.011029, 101.671859 3.010779, 101.670753 3.011457, 101.669111 3.012028, 101.668718 3.012921, 101.668397 3.015241, 101.669218 3.018155, 101.669646 3.019393, 101.669503 3.02044, 101.668552 3.022914, 101.667552 3.027245, 101.667552 3.028482, 101.666029 3.031576, 101.665934 3.035097, 101.665696 3.035573, 101.664459 3.035621, 101.661556 3.035811, 101.658415 3.036049, 101.656083 3.036953, 101.654132 3.038048, 101.653656 3.038381, 101.652847 3.037762, 101.651895 3.037143, 101.645233 3.037143, 101.644519 3.037524, 101.642616 3.040189, 101.642616 3.049279, 101.642425 3.04997, 101.644797 3.051084, 101.646336 3.051382, 101.648869 3.051652))"
14,BANDAR MAHKOTA,464,62078,324.0,4,"POLYGON ((101.828924 3.055648, 101.827679 3.054473, 101.82727 3.052835, 101.824404 3.051095, 101.808397 3.049595, 101.800545 3.044312, 101.802901 3.041172, 101.801616 3.040029, 101.80133 3.040886, 101.800331 3.041243, 101.792764 3.040957, 101.788477 3.040745, 101.792061 3.061945, 101.792965 3.064464, 101.798484 3.058888, 101.802125 3.057389, 101.808835 3.059673, 101.809763 3.058388, 101.808193 3.054891, 101.817615 3.054391, 101.828924 3.055648))"
15,BANDAR MANJALARA,5085,509530,157.0,10,"POLYGON ((101.641429 3.180945, 101.634259 3.180837, 101.62521 3.180863, 101.61914 3.180881, 101.619142 3.180903, 101.619253 3.182415, 101.619362 3.183899, 101.61945 3.18509, 101.619499 3.185752, 101.61966 3.188151, 101.619372 3.191487, 101.619372 3.191487, 101.618948 3.192202, 101.618779 3.192488, 101.618784 3.192656, 101.618855 3.19494, 101.618863 3.19518, 101.619012 3.195441, 101.620146 3.197178, 101.62018 3.19723, 101.620755 3.197327, 101.621649 3.197546, 101.623012 3.19792, 101.623635 3.198058, 101.624355 3.198216, 101.625789 3.199906, 101.625862 3.199993, 101.630677 3.196802, 101.630745 3.196789, 101.635503 3.195905, 101.63627 3.196484, 101.636438 3.197399, 101.638271 3.200518, 101.639126 3.201451, 101.641413 3.198915, 101.641413 3.190626, 101.641429 3.180945))"
16,BANDAR MELAWATI,71,11261,504.0,1,"POLYGON ((101.75593 3.206688, 101.755462 3.206279, 101.753737 3.207707, 101.75225 3.208302, 101.745588 3.210027, 101.745418 3.21007, 101.74504 3.210165, 101.745041 3.210514, 101.745052 3.214429, 101.746068 3.215487, 101.746776 3.213575, 101.746604 3.212108, 101.753142 3.210443, 101.75463 3.209313, 101.75593 3.206688))"
17,BANDAR PUNCAK ALAM,135,15481,504.0,2,"POLYGON ((101.343462 3.162346, 101.343349 3.162351, 101.335692 3.162651, 101.333328 3.162721, 101.33362 3.169925, 101.335619 3.170211, 101.335476 3.175636, 101.331764 3.175922, 101.331907 3.195195, 101.318014 3.195195, 101.318014 3.201693, 101.33036 3.200708, 101.342614 3.200763, 101.343042 3.209472, 101.351751 3.209472, 101.352037 3.225605, 101.36303 3.225034, 101.369169 3.225462, 101.374166 3.227032, 101.376736 3.228603, 101.377307 3.230459, 101.378163 3.232029, 101.380914 3.230853, 101.38197 3.231322, 101.382674 3.231439, 101.382908 3.23273, 101.383187 3.233422, 101.384705 3.233422, 101.385761 3.233818, 101.385959 3.234543, 101.388334 3.235533, 101.389521 3.23771, 101.390775 3.236919, 101.391369 3.238106, 101.391897 3.238634, 101.390973 3.23969, 101.390181 3.239888, 101.389653 3.240878, 101.391369 3.242527, 101.394668 3.246948, 101.394668 3.247805, 101.393942 3.248201, 101.393282 3.248201, 101.392952 3.248795, 101.39348 3.249455, 101.39414 3.250642, 101.394899 3.25084, 101.394734 3.25183, 101.3948 3.25282, 101.39672 3.253934, 101.409801 3.24449, 101.418545 3.262733, 101.405496 3.273339, 101.406456 3.274696, 101.415847 3.287979, 101.420891 3.294196, 101.422374 3.294372, 101.425973 3.293115, 101.428944 3.291287, 101.431115 3.287573, 101.432944 3.283231, 101.435515 3.275632, 101.437629 3.272832, 101.441285 3.267062, 101.442485 3.266262, 101.444371 3.26569, 101.445742 3.265862, 101.44837 3.267347, 101.454198 3.266605, 101.455741 3.265576, 101.467453 3.251978, 101.469967 3.245579, 101.467692 3.245283, 101.463939 3.243055, 101.461241 3.241061, 101.439306 3.210798, 101.439687 3.208107, 101.438749 3.20623, 101.439336 3.202829, 101.438749 3.201187, 101.435113 3.197902, 101.431711 3.196143, 101.431831 3.192514, 101.430679 3.192495, 101.426651 3.192437, 101.405321 3.191996, 101.400902 3.191904, 101.400673 3.186267, 101.400236 3.186262, 101.386744 3.186128, 101.370201 3.185962, 101.370278 3.175297, 101.369382 3.175294, 101.343386 3.175207, 101.343386 3.175196, 101.343462 3.162346))"
18,BANDAR PUTERI,2932,312018,133.6,5,"POLYGON ((101.633486 3.000033, 101.628539 2.999978, 101.628851 3.003397, 101.627875 3.004967, 101.627494 3.005776, 101.627351 3.008132, 101.62583 3.008195, 101.623024 3.007324, 101.622264 3.00749, 101.621545 3.007503, 101.620881 3.006992, 101.620632 3.006453, 101.619035 3.00574, 101.618869 3.006269, 101.61806 3.006632, 101.617448 3.006756, 101.615799 3.008581, 101.614846 3.009151, 101.612523 3.01418, 101.613394 3.020287, 101.614906 3.028368, 101.614949 3.028827, 101.61554 3.028757, 101.620965 3.027722, 101.620215 3.030577, 101.622036 3.031148, 101.622357 3.030827, 101.623927 3.028971, 101.624998 3.028507, 101.625819 3.028578, 101.627175 3.028935, 101.628175 3.026615, 101.628603 3.021654, 101.631136 3.021727, 101.632118 3.021745, 101.633486 3.000033))"
19,BANDAR PUTERI KLANG,78,25514,109.0,4,"POLYGON ((101.441824 3.000436, 101.457177 3.000492, 101.459922 3.000532, 101.459133 2.998376, 101.465688 2.995942, 101.469505 2.994509, 101.48595 2.987991, 101.490025 2.997009, 101.49765 2.984679, 101.498202 2.983759, 101.498886 2.98013, 101.482389 2.979616, 101.454433 2.978915, 101.451801 2.982556, 101.444681 2.992843, 101.441824 3.000436))"
